vad_frames,osd_frames,vcn_frames,total_frames,has_speech,has_overlap,has_voice_change,conv_idx,start_time,vad_ratio,osd_ratio,vcn_ratio
2954,0,3,3000,True,False,True,0,0.0,0.9846666666666667,0.0,0.001
2962,90,9,3000,True,True,True,0,30.0,0.9873333333333333,0.03,0.003
2996,184,13,3000,True,True,True,0,60.0,0.9986666666666667,0.06133333333333333,0.004333333333333333
2988,94,10,3000,True,True,True,0,90.0,0.996,0.03133333333333333,0.0033333333333333335
2722,0,7,3000,True,False,True,1,0.0,0.9073333333333333,0.0,0.0023333333333333335
2918,0,5,3000,True,False,True,1,30.0,0.9726666666666667,0.0,0.0016666666666666668
2994,0,3,3000,True,False,True,1,60.0,0.998,0.0,0.001
2986,4,5,3000,True,True,True,1,90.0,0.9953333333333333,0.0013333333333333333,0.0016666666666666668
2922,4,7,3000,True,True,True,1,120.0,0.974,0.0013333333333333333,0.0023333333333333335
2932,186,12,3000,True,True,True,2,0.0,0.9773333333333334,0.062,0.004
2968,56,13,3000,True,True,True,2,30.0,0.9893333333333333,0.018666666666666668,0.004333333333333333
2922,130,21,3000,True,True,True,2,60.0,0.974,0.043333333333333335,0.007
2844,74,20,3000,True,True,True,2,90.0,0.948,0.024666666666666667,0.006666666666666667
2772,8,15,3000,True,True,True,2,120.0,0.924,0.0026666666666666666,0.005
2876,12,14,3000,True,True,True,2,150.0,0.9586666666666667,0.004,0.004666666666666667
2970,6,13,3000,True,True,True,2,180.0,0.99,0.002,0.004333333333333333
2934,2,9,3000,True,True,True,2,210.0,0.978,0.0006666666666666666,0.003
2934,0,5,3000,True,False,True,2,240.0,0.978,0.0,0.0016666666666666668
2852,0,6,3000,True,False,True,2,270.0,0.9506666666666667,0.0,0.002
2834,24,9,3000,True,True,True,2,300.0,0.9446666666666667,0.008,0.003
2900,50,11,3000,True,True,True,2,330.0,0.9666666666666667,0.016666666666666666,0.0036666666666666666
2934,26,8,3000,True,True,True,2,360.0,0.978,0.008666666666666666,0.0026666666666666666
2986,36,5,3000,True,True,True,2,390.0,0.9953333333333333,0.012,0.0016666666666666668
2924,36,6,3000,True,True,True,2,420.0,0.9746666666666667,0.012,0.002
2924,0,5,3000,True,False,True,2,450.0,0.9746666666666667,0.0,0.0016666666666666668
